mapped_gene	pvalue
UQCRFS1P3 - ID4	0.0000007
C2, ZBTB12	8e-21
FAM98B	0.00000000000001
FCGR2A	0.000009
ITGAM	0.00000000004
MTG1	0.000003
STAT4	0.000000005
TNPO3	0.0000000000002
TRNAI25	0.000000008
TRNAI25	0.000007
TRNAI25	5e-16
C1orf21 - EDEM3	0.0000000000002
CNTN6 - RPL23AP38	0.0000001
GYPC - BIN1	0.000004
KCP - IRF5	0.0000000007
KRT18P4 - SNAI1	0.00000000001
LAMC1 - LAMC2	0.000005
MED1 - CDK12	0.0000007
MTND5P30 - NR4A2	0.000002
NDUFB8P3 - APIP	0.0000002
PRNT - RASSF2	0.000002
RPL31P35 - SEC61G	0.000002
SPATA8 - LINC00923	0.00000001
CFB	0.00000000000005
PTPRC	0.0000004
TRNAI25	0.000000000000002
TRNAI25	0.0000000008
CCR6	0.0000000002
CCR6	0.000000000000007
CCR6	0.000000004
CDK5RAP2	1e-16
CDK5RAP2	0.000000000001
DPP4	0.00000001
DPP4	2e-21
PHF19	0.000000003
SPRED2	0.00000002
TRNAI25	0.0000000000002
TRNAI25	0.000000000003
TRNAI25	0.00000000000007
TRNAI25	1e-16
TRNAI25	0.0000000000004
AFF3 - LINC01104	0.00000002
HLA-DQA1	0
SH2B3	0.00000008
CARD10 - CDC42EP1	0.000003
ALDH1A2	0.00000000001
CLYBL, LOC101927437	0.00000006
GRM5	0.000002
GUCY1B2	0.000001
TRNAI25	0.000000009
TRNAI25	0.0000005
SMIM21 - ZNF516	0.00000002
BTNL2	0
GATSL3	0.000000007
IL2RA	0.000001
KIF5A	0.0000001
LOC101928822, PTPN22	5e-33
MMEL1	0.000001
BTF3L4P3 - TNFAIP3	0.00000003
SMIM20 - RBPJ	0.0000004
ACOXL	0.00000003
ACOXL	0.000000009
ALS2CR12	0.000000002
ALS2CR12	0.000000003
ANKRD55	8e-23
ANO8, DDA1	7e-24
ARID5B	0.00000001
ARID5B	0.000000000000003
ARID5B	5e-22
ATG5	0.00000004
ATG5	0.0000000008
C5orf30	0.0000000001
C5orf30	0.00000000002
CCL21, LOC101929761	0.000000000000002
CCL21, LOC101929761	0.000000000000003
CCR6	1e-22
CCR6	2e-18
CCR6	5e-35
CD226	0.00000001
CD226	0.0000000009
CD40	1e-16
CD40	4e-18
CDK6	0.00000001
CDK6	0.000000005
CTLA4	3e-25
CTLA4	4e-22
DKFZp667F0711	0.0000000003
DKFZp667F0711	0.0000000004
EOMES	0.00000003
EOMES	0.000000009
FADS2	0.00000002
GATA3	0.00000002
GATA3	0.000000003
IL2RA	0.000000000000005
IL2RA	0.00000000000005
IL2RB	0.000006
IL6R	0.000000004
IL6R	0.000005
JAZF1	0.000000003
JAZF1	0.000000004
LINC01104	0.00000000000001
LINC01104	2e-18
LOC100506023	0.00000000003
LOC100506023	0.0000000000007
LOC101928822, PTPN22	0
MECP2	0.000000000003
MECP2	5e-16
MTF1	0.000000000003
MTF1	0.000000006
NFKBIE	1e-19
NFKBIE	0.0000000000002
NFKBIE	0.00000003
OS9	0.0000001
OS9	0.00000007
PADI4	1e-18
PADI4	0.000000006
PADI4	0.0000000000008
PHF19	0.000000004
PHF19	0.00000000005
PLCL2	0.0000000002
PLCL2	0.00000000005
PLD4	0.0000003
PLD4	0.00000005
PPIL4	0.000000003
PPIL4	0.00000005
PRKCH	0.000000002
PRKCH	0.000000004
PTPN2	0.00000000002
PTPN2	6e-18
PTPN2	0.000000008
RABEP1	0.000000002
RAD51B	0.00000005
RAD51B	0.00000000008
RASGRP1	2e-18
RASGRP1	0.00000000000003
RASGRP1	0.000009
REL	0.000000000000002
REL	4e-16
RPP14	0.00000005
SFTPD	0.000000009
SPRED2	0.00000001
SPRED2	0.000000002
SPRED2	0.000000000000003
STAG1	0.0000000009
STAT4	0.000000000001
STAT4	0.00000002
STAT4	4e-19
SUOX	0.0000000001
SUOX	0.00000002
SYNGR1	1e-16
SYNGR1	0.0000002
SYNGR1	0.000000000006
TEC	0.0000001
TEC	0.00000003
TRNAI25	0
TYK2	5e-16
UBASH3A	0.000000000007
VPS37C	0.000003
WDFY4	0.000000003
CD28 - KRT18P39	0.0000000000002
CD28 - KRT18P39	0.00000000000003
CDK12 - NEUROD2	0.00000002
CLNK - RNPS1P1	0.000002
CLNK - RNPS1P1	0.000000003
CSF2 - P4HA2-AS1	0.000006
CSF2 - P4HA2-AS1	0.0000008
DDX10P1 - RNA5SP309	0.000000001
DDX10P1 - RNA5SP309	0.0000006
FAM167A - BLK	0.0000002
FAM167A - BLK	0.0000000000003
FAM167A - BLK	0.00000008
FCRL3 - SONP1	0.0000002
GAPDHP64 - NEFHP1	0.0000000008
HSPA8P14 - SH2B3	0.000000007
IL2 - IL21	0.000004
IRF4 - EXOC2	0.0000001
IRF4 - EXOC2	0.0000000002
LINC01263 - LINC00977	0.0000000001
LINC01263 - LINC00977	0.00000000003
MIR3659 - TUBB6P1	0.000000002
MIR3659 - TUBB6P1	0.000000004
MIR5192 - TMEM17	0.0000009
MIR6090 - FLI1	0.0000000001
MIR6090 - FLI1	0.000001
MIR6090 - FLI1	0.000004
MIR6774 - LINC01082	0.000000000001
MIR6774 - LINC01082	0.000000009
NACAP1 - GRHL2	0.00000002
NACAP1 - GRHL2	0.000000007
PRR5L - TRAF6	0.0000001
PRR5L - TRAF6	0.0000003
RNA5SP299 - LINC00709	0.00000005
RNA5SP299 - LINC00709	0.00000008
RNY4P14 - CDKN2AIPNLP3	0.000000000002
RNY4P14 - CDKN2AIPNLP3	0.00000000003
RPLP1 - GEMIN8P1	4e-19
RPLP1 - GEMIN8P1	6e-18
RTKN2 - ZNF365	0.00000004
RTKN2 - ZNF365	0.000004
RUNX1-IT1 - RPL34P3	0.00000002
RUNX1-IT1 - RPL34P3	0.000000003
SESN3 - FGFR3P2	0.00000000001
SESN3 - FGFR3P2	0.000000004
SETP16 - CXCR5	1e-17
SETP16 - CXCR5	0.000000000000001
SMIM20 - RBPJ	1e-16
TAGAP - FNDC1	0.0000000002
TAGAP - FNDC1	0.00000000003
TNFAIP3 - RPSAP42	2e-29
TNFAIP3 - RPSAP42	2e-20
TNFAIP3 - RPSAP42	0.00000000007
TPD52 - MIR5708	0.00000002
TPD52 - MIR5708	0.000000007
TRNAN32 - TRNAG7	0.0000001
TRNAN32 - TRNAG7	0.0000005
TXNDC11 - ZC3H7A	0.00000004
TXNDC11 - ZC3H7A	0.000000009
UBE2L3 - YDJC	0.000000002
UBE2L3 - YDJC	0.0000002
USF1P1 - IFNGR2	0.000001
USF1P1 - IFNGR2	0.00000003
UTS2 - TNFRSF9	0.000000003
YPEL5 - LBH	0.000000001
YPEL5 - LBH	0.00000004
CLEC16A	0.00000001
FAM19A2	0.000002
GSDMA	0.0000000004
IKZF3	0.0000004
IL1RL1	0.00000000004
SMAD3	0.000000004
TLR1	0.000000000005
TNS1	0.0000006
TRNAI25	0.00000000000004
VAV3	0.0000007
XKR6	0.0000004
EDIL3 - RBBP4P6	0.0000005
PSMD4P1 - SIM2	0.000002
PTHLH - CCDC91	0.0000003
RANBP6 - GTF3AP1	0.000002
RANBP6 - GTF3AP1	0.000000002
RPL32P23 - RBM17	0.0000005
RPS5P5 - ZBTB10	0.000000004
SLC25A46 - TSLP	0.000000001
SLC25A46 - TSLP	0.0000002
WDR36 - RPS3AP21	0.00000000003
NPEPPS	0.0000005
GTF2I, LOC101926943	0
STAT4	2e-17
TNFAIP3	0.000000008
TRNAI25	9e-25
TRNAI25	9e-37
CDCA7 - RPL5P7	0.00000004
CAMK2B	0.0000000008
DNAH10	0.000002
NACA2	0.000008
LSMEM1 - NPM1P14	0.000003
ZMYND8 - RPL35AP	0.0000000002
PLCL1	0.000006
NTN4, PGAM1P5	0.000004
PELI1	0.000007
ARL15	0.000007
IL13	2e-17
TNXB	0.00000000000003
C11orf30 - LRRC32	0.0000000000004
CRNN - LCE5A	0.00000000009
BTNL2, LOC101929163	0.000000000003
IL23R	0.0000000002
MLN	0.00000001
RNASET2	0.000000000008
TRNAI25	0.000000000005
MRPS33P2 - LINC01258	0.00000000000004
RPL15P16 - P2RY2	0.000000007
SMNDC1 - HMGB3P5	0.0000000002
ADAD1	0.00000004
CLEC16A	0.0000002
ELL	0.000006
GSDMB	0.000000009
IL13	0.000001
IL2RA	0.000003
LINC00299	0.0000001
LOC102723900, RBFOX3	0.000007
LPP	0.000000001
NFATC2	0.000000007
NPAS3	0.000006
PEX14	0.0000004
PLCL1	0.0000000006
RANGAP1	0.000004
SMAD3	0.00000001
TRNAI25	0.000001
TRNAI25	0.000000000000007
C11orf30 - LRRC32	2e-19
C7orf72 - IKZF1	0.000005
DOCK9-AS2 - RPS6P23	0.000005
FOXA1 - TTC6	0.00000005
IL1RL2 - IL1RL1	2e-16
IL4R - IL21R	0.0000003
KIRREL3-AS3 - ETS1	0.0000006
LINC00603 - PTGER4	0.00000000008
MARK2P15 - HMGN2P8	0.000009
MIR629 - UACA	0.000006
RNA5SP299 - LINC00709	0.00000002
RPS5P5 - ZBTB10	0.00000008
SUMO1P5 - CEP120	0.000002
TLR1 - TLR6	5e-21
UCMA - PHYH	0.000007
WDR36 - RPS3AP21	2e-20
LOC101927314	0.0000009
ANKS1A	0.0000003
ATG5	0.0000005
IKZF3	0.000007
ITGAM	0.0000000001
JAZF1	0.00000002
KIAA0319L	0.0000000001
LAMC2	0.000005
LOC100506023	0.0000004
LOC102723568	0.000004
PHRF1	0.000008
PXK	0.00000000005
SAMD9L	0.0000002
STAT4	0.00000000003
TNIP1	0.00000002
TNPO3, TPI1P2	1e-29
BTF3L4P3 - TNFAIP3	0.000000002
FAM167A - BLK	0.00000001
MIR6774 - LINC01082	0.0000000003
PPCDC - RPL36AP45	0.00000003
RPL23P4 - MIR4268	0.0000002
HLA-DPB1	0
CICP17 - POM121L12	0.0000004
HMGN2P27 - SEMA6A	0.00000002
MIR1305 - DCTD	0.000002
MS4A10 - CCDC86	0.0000002
WSCD1 - BTF3P14	0.0000002
RPGRIP1L	0.00000000006
KCNN2, LOC101927078	0.00000002
CACNA2D1	0.000006
LOC102723987	0.000009
MIR4669 - COL5A1	0.000006
ABO	0.0000000002
C1QTNF6	5e-20
SLAMF6	2e-18
TG	0.000000008
C14orf64 - C14orf177	0.000000005
GPR174 - KIF4CP	2e-33
NIFKP2 - ARL2BPP6	0.000001
NIFKP2 - ARL2BPP6	0.000003
PRKCQ-AS1 - LINC00706	0.0000002
RPS19P3 - RPL23AP8	0.000002
TRNAI25	0.000002
TRNAI25	0.000003
TRNAI25	1e-18
FGFR1OP2P1 - RPS21P8	0.0000003
FGFR1OP2P1 - RPS21P8	0.000008
MIR6774 - LINC01082	0.0000000004
MIR6774 - LINC01082	0.000000003
RNF186 - OTUD3	0.000000007
BTNL2	0.0000000006
BTNL2	0.000008
C1orf204	0.0000007
CLSTN2	0.0000008
HLA-DRA	1e-16
HLA-DRA	0.000000000000006
HLA-DRB6	0.000000000000005
LOC101927027, PRKRA	0.0000003
TRNAI25	0.000000000000005
TRNAI25	2e-20
TRNAI25	0.00000000006
ARHGEF10, LOC100131395	0.000001
EGFL6	0.000004
HACE1	0.0000003
LOC100128088	0.000001
LOC100506023	0.000007
NCKAP5	0.000007
RNASEL	0.000000006
SAMD12	0.000008
TLL1	0.000005
VTI1A	0.000008
DSC1 - DSG1	0.000001
MRGPRE - NDUFA5P1	0.000002
RCBTB1 - ARL11	0.0000003
RNA5SP173 - LINC00290	0.000003
RNF144A - LINC00298	0.000005
TMEM47 - FAM47B	0.0000009
ERAP1, LOC102724748	0.00000004
ERAP1, LOC102724748	0.00000000005
IL12A-AS1	0.0000006
KLRC4, KLRC4-KLRK1	0.000000001
STAT4	0.000000001
FLT1P1 - CCR1	0.0000000000004
APOBEC4, RGL1	0.000006
ARID5B	0.00000000005
BANK1	0.000005
CD80	3e-16
CDKN1B, LOC101929220	0.000000000005
CLEC16A	0.0000005
CREBL2	0.00000002
DDA1	0.000001
DGUOK-AS1	0.00000000000006
DGUOK-AS1	7e-17
ELF1	0.000006
GPR19	4e-17
ITGAM	0.000007
RASGRP3	0.000004
SEZ6L2	0.000007
SLC15A4	0.00000008
SLC29A3	0.000003
STAT4	1e-21
TNFAIP3	0.0000000000001
TNIP1	0.000003
TRNAI25	5e-24
UBE2L3	0.000005
UHRF1BP1	0.000000000001
WDFY4	0.000000008
BACH2 - MIR4464	0.000009
C7orf72 - IKZF1	0.000006
DRAM1 - RPL9P24	0.000000000009
FAM167A - BLK	0.0000000000002
KCP - IRF5	0.000000001
KIRREL3-AS3 - ETS1	0.00000003
MIR1343 - CD44	0.0000002
PRDM1 - ATG5	0.000004
SCN10A - SCN11A	0.000007
TNFSF4 - RPL26P11	0.000000000003
ELF1	0.000000008
FCHSD2	0.0000004
JAK2	0.000005
PSORS1C3	0.0000007
RUNX3	0.000009
STAT3	0.000000000000002
C9orf91 - TNFSF15	0
LINC01249 - LINC01248	0.000000004
MRPS33P2 - LINC01258	0.00000000001
ABCG2	2e-32
FGFR2	0.0000009
SLC2A9	4e-26
CLDN24 - CDKN2AIP	0.0000007
CTBP2P3 - HMGN1P31	0.0000002
OR13C3 - OR13C8	0.000001
ADCY3	6e-16
ANKRD55	0.000000000004
ATG16L1	0
BACH2	0.0000000002
BANK1	0.000000000002
C10orf55, PLAU	0.0000000007
C1orf106	1e-32
C21orf33	2e-26
C5orf56	0
C5orf66	0.000000003
CARD9	0
CCDC85B, FIBP	0.0000000003
CD226	0.000000005
CD6	0.0000000000009
CDC37	2e-18
CDKAL1	0.00000000000009
CHP1	0.00000002
CPEB4	0.000000005
CPSF3L, MIR6727, PUSL1	0.0000000000008
CRTC3	0.00000000009
CXCR5	0.000000007
DAP	0.00000001
DENND1B	0.0000000000008
DNMT3B	0.000000001
DUSP16	0.00000001
ERAP2	0.0000000000006
FCGR2A	2e-38
FLJ31356, FOSL2	0.000000000000003
FUT2	0.000000000000001
GNA12	6e-17
GPR183, UBAC2	0.00000000000002
GPR35	3e-21
GPR65	0.00000000000002
HDAC7	0.000000008
HORMAD2	0.00000000000003
IFNGR2	2e-16
IL23R	0
IL27	1e-21
IL2RA	0.0000000004
IPMK	0.000000008
ITGAL	0.0000000006
KIAA1109	0.0000000000003
KSR1	9e-17
LACC1	2e-21
LINC00598	0.00000000000002
LOC101929137	0.00000002
LOC102723651, SFMBT1	0.00000001
LPXN	0.0000000007
LSP1	0.0000000003
MAML2	0.00000001
MAP3K8	0.00000000006
MST1	0
MUC19	6e-29
NDFIP1	0.00000000000004
NFKB1	0.000000000004
NOD2	0
NR5A2	2e-17
PARK7	0.000000000000001
PHTF1	0.000000000000002
PLCL1	0.00000003
PNKD, TMBIM1	0.000000000004
PPP5C	0.0000000002
PRKCB	0.000000001
PROCR	0.00000002
PTGIR	0.000000002
PTPN2	3e-26
PUS10	9e-32
RGS14	0.00000002
RIT1	0.00000000006
RORC	4e-16
RSPO3	0.0000000004
SBNO2	8e-22
SKAP2	0.00000003
SLAIN2	0.00000002
SLC39A11	0.000000002
SMAD3	6e-16
SP140	1e-16
STAT3	6e-22
THADA	0.000000000008
TM9SF4	0.0000000006
TNFSF15	3e-32
TRAF3IP2-AS1	0.0000000000001
TRNAI25	5e-28
TSPAN14	9e-16
TUBD1	0.0000000000009
UBE2L3	1e-16
ZFP90	0.00000004
ZGPAT	1e-23
ZMIZ1	3e-18
ZNF300	3e-37
ZNF831	0.000000000001
ADAM30 - NOTCH2	0.00000000002
AIMP1P2 - TNFSF18	6e-22
ARL2BPP4 - RPL11P2	0.0000000004
BTF3L4P3 - TNFAIP3	1e-21
C11orf30 - LRRC32	4e-36
C7orf72 - IKZF1	0.000000000000007
CCL2 - CCL7	1e-26
CEBPB - COX6CP2	0.00000005
COX6B1P6 - OSGIN2	0.00000001
CTH - CASP3P1	0.00000002
EIF2S2P3 - HHEX	0.00000003
FAP - IFIH1	0.00000002
FGFR1OP2P1 - RPS21P8	3e-19
FTH1P3 - NRBP1	5e-16
FUCA2 - PHACTR2	0.00000002
GOT1 - NKX2-3	0
GRB7 - IKZF3	4e-38
HNRNPA1P41 - JAK2	8.40779e-45
HNRNPA1P70 - IFNG	9e-32
HOXA11-AS - HOXA13	0.00000002
ITLN1 - ITLN2	0.000000007
KCP - IRF5	0.00000000000004
KIR3DL2 - FCAR	0.00000000007
LINC00603 - PTGER4	0
LINC01108 - RPL6P17	0.00000000003
LINC01263 - LINC00977	1e-16
MIR1237 - SLC22A11	0.00000000004
MIR3646 - C20orf62	9.94922e-44
MIR3686 - GSDMC	0.000000002
MIR4418 - ZBTB40	1e-17
MIR4456 - CEP72	0.00000002
MIR4743 - SMAD7	0.000000001
MIR4772 - SLC9A4	3e-20
MIR5192 - TMEM17	0.000000001
MIR6774 - LINC01082	0.000000001
MRPS17P5 - PTPRK	0.000000000000008
NRIP1 - CYCSP42	9e-30
PDGFB - RPL3	4e-33
PIGCP2 - DLD	2e-26
PLCL1 - SATB2	0.0000000000002
POP7 - EPO	0.0000000000002
PPBP - CXCL5	0.00000003
PRDX2P2 - CUL2	2e-25
PRM2 - PRM1	2e-16
RAD23BP1 - KCNH8	0.000000000000009
RASGRP1 - C15orf53	0.000000004
REXO2 - NXPE1	5e-17
RNA5SP22 - RNFT1P2	0.000000003
RNASET2 - MIR3939	7e-21
RNF186 - OTUD3	0
RNU4ATAC2P - ADRA1B	1.00053e-42
RPL13P2 - CD40	0.0000000000001
RPL35P3 - PRDM1	8e-20
RPL36AP25 - LINC00581	0.000000000004
RPS14P1 - IL10	6.99949e-42
RPSAP64 - RPL23AP12	0
SLC7A10 - CEBPA	0.000000000000006
SMURF1 - KPNA7	0.000000000008
SPRED2 - RPS15AP15	0.00000002
ST7-OT3 - MTND4P6	0.00000001
SYK - AUH	0.000000004
TAGAP - FNDC1	0.00000000000003
TMED10 - FOS	0.00000003
TMEM174 - FOXD1	0.0000000006
TNFRSF14 - FAM213B	0.000000000003
TRIB1 - LINC00861	8e-20
ZFP36L1 - MAGOH3P	0.0000000003
ZNF365 - ALDH7A1P4	0
HLA-DQB2	3e-22
STAT4	0.00000000000004
TNPO3	0.0000000000006
FAM167A - BLK	0.0000000002
KCP - IRF5	0.00000004
C6orf10	5e-19
CLEC16A	0.000006
GLB1	6e-21
GPSM3, PBX2	8e-20
IL13	0.000002
IL18R1	8e-18
LINC01263	0.0000004
LOC101927260	0.0000003
TRNAI25	1e-17
ZNF365	6e-20
ALDH7A1P4 - ADO	0.0000002
C11orf30 - LRRC32	0.000003
CARD11 - SDK1	0.000000008
CCDC80 - CD200R1L	2e-19
CYP24A1 - PFDN4	0.00000002
KRT8P26 - AP5B1	0.0000006
OR10A3 - NLRP10	2e-22
NFKBIE	0.000000000000001
RTKN2	0.000000005
PSORS1C1	2e-20
STAT4	0.00000004
STAT4	0.000000006
TFCP2L1	0.000000005
TRNAI25	0.00000000001
TRNAI25	0.0000000002
IKZF4	0.000000000008
LPP	0.00000009
DDX6 - SETP16	0.000000002
SLC29A3 - CDH23	0.00000002
ATG16L1, SCARNA5	0.000000005
CARD9	0.000004
IFNGR2	0.0000003
IL23R	0.00000000000004
NOD2	0.0000000003
LINC00603 - PTGER4	0.000001
MIR3666 - MDFIC	0.000007
RBX1 - RPS9P2	0.00000003
ZNF365 - ALDH7A1P4	0.000005
GPR35	0.000000002
TCF4	0.00000003
ARHGAP18	0.0000006
F8	0.0000004
TSC22D1	0.000003
WNT9B	0.000009
ASS1P4 - PRKX	0.000001
C1GALT1C1 - PA2G4P1	1e-24
FMR1 - FMR1NB	0.00000002
MAGEC2 - SPANXN4	0.000000005
MYL12B - RPL31P59	0.000003
PABPC5 - SERBP1P4	0.00000004
PRDX2P1 - LINC00426	0.000004
RPL24P9 - NLGN4X	2e-25
RPL7P37 - PCAT5	0.000009
RSL24D1P11 - HMGN1P30	0.000007
SERPINA1 - SERPINA11	0.000000002
UBE2V1P9 - PABPC5-AS1	0.00000000000009
FTO	0.000004
GNL3, PBRM1, SNORD19	0.000000005
SUPT3H	0.0000006
RIMKLBP2 - ZC3H11B	0.000001
F13B	0.000006
PHACTR2	0.000004
HNRNPA3P8 - GBE1	0.000005
NBPF21P - DCLK3	0.000004
PDK1 - RAPGEF4-AS1	0.000002
TRNAE27P - ALCAM	0.0000007
LINC00603 - PTGER4	0.000000001
ALPL	0.000006
LOC101928122	0.000003
PDE3A	0.000002
SLCO1C1	0.000004
CNTNAP4 - MIR4719	0.000009
GTSCR1 - CBLN2	0.000004
LINC00924 - NR2F2-AS1	0.0000006
QPCT - CDC42EP3	0.000008
DOT1L	0.00000000001
ATXN2	4e-18
BACH2	0.00000003
CASP7	0.00000004
FANCA	0.0000000000002
HERC2	0.00000004
IKZF4	0.00000000000003
SLC1A2	0.000000002
TG	0.00000002
TICAM1	0.00000009
CLNK - RNPS1P1	0.00000002
CSRP2P - ADPRH	0.0000000004
FAP - IFIH1	0.000000000000005
SESN3 - FGFR3P2	0.0000000000002
ZC3H7B - TEF	0.0000000007
CYP4F23P	0.0000009
ENOX1	0.0000002
ETFA	0.0000007
GALNT18	0.0000001
LINC00452	0.0000007
LOC100130458	0.0000008
LOC730100	0.0000002
MDGA2	0.0000002
N4BP1	0.0000006
PHACTR3	0.0000006
PSMA4	0.00000004
RCHY1	0.0000009
RIT2	0.0000001
SLC6A11	0.0000003
SPSB1	0.00000005
ZNF175	0.0000003
BICD1 - FGD4	0.000001
BMPR1APS2 - SORL1	0.0000005
CCNG2 - FTLP9	0.0000002
EBF4 - RPL19P1	0.0000003
GDAP1 - MIR5681A	0.0000004
GUSBP1 - CDH12	0.0000001
MIR4510 - COX6CP4	0.0000002
MIR548F1 - MTRNR2L5	0.0000008
MRPS35P1 - MRPS36P1	0.0000009
PGBD4P8 - NFIA	0.00000005
SV2B - TRNAY16P	0.0000005
TRPS1 - LINC00536	0.0000002
CAPZB	0.000008
SOCS1	0.0000000000001
ZDHHC23	0.000007
ZMIZ1	0.00000000000007
C6orf10	7e-16
ANXA3	0.000000000001
ARID5B	6e-18
GABARAPL3, ZNF774	0.000001
GCH1	0.000002
NFKBIE	6e-19
PDE2A	0.0000000006
PLD4	0.00000000000002
PRKCB	0.000004
PRKCH	0.0000004
PTPN2	0.00000002
CSF2 - P4HA2-AS1	0.0000000003
MIR5192 - TMEM17	0.00000001
MIR6090 - FLI1	0.0000008
MIR6774 - LINC01082	0.000002
MRPL35P1 - CD83	0.00000002
CENPU	0.00000003
MIA, MIA-RAB4B	0.0000000004
TRNAI25	0.00000000005
CD40 - CDH22	0.00000005
FAM167A - BLK	8e-21
MED30	0.0000005
PPM1L	0.000009
TECRL	0.0000003
FAM167A - BLK	0.0000000009
PISRT1 - MRPS22	0.000008
RPL13P2 - CD40	0.000000006
ATG16L1, SCARNA5	0.000000000001
IL23R	1e-18
LINC00492	0.00000002
LOC101927324, NKX2-3	0.0000005
NOD2	1e-37
PSMB10	0.0000002
PUS10	0.000000005
SBSPON	0.00000002
TMEM17	0.000000007
ZNF365	0.000000007
CCL2 - CCL7	0.00000004
IL3 - CSF2	0.00000004
KNOP1P5 - RFPL4AP5	0.000003
LINC00603 - PTGER4	0.00000000002
SLC43A3 - RTN4RL2	0.000000008
TCERG1L - LINC01164	0.00000003
JMJD1C	0.0000002
REEP3	0.0000003
TIMMDC1	0.0000001
FAM169B - IGF1R	0.0000007
CUX2	1e-16
IL23R	4e-21
IL2RA	0.000000005
AFF1	0.000000008
LEF1	0.000002
ATP6V1G2-DDX39B	0.000002
KIF3A, LOC101927783	0.00000004
NCF4	0.000006
ADAMTS10 - ACTL9	0.000000007
AP5B1 - OVOL1	0.0000000000001
RPS5P5 - ZBTB10	0.000001
CD58, MIR548AC	0.000000006
DLEU1	0.0000007
EPS15L1	0.0000002
IL2RA	0.00000004
LOC100506047	0.00000003
LOC285626	0.00000008
MLANA	0.00000003
STAT3	0.00000004
TAGAP	0.0000004
ZMIZ1	0.0000004
EOMES - CMC1	0.00000002
ILDR1 - CD86	0.0000002
KPNB1 - TBKBP1	0.0000001
MIR548H2 - RMI2	0.0000006
PLEK - FBXO48	0.0000002
RNU4ATAC2P - ADRA1B	0.0000007
RPL13P2 - CD40	0.000005
ADAM18	0.000002
CYP7B1	0.000001
GLTSCR1	0.0000008
NAV2	0.000006
NEDD9	0.000002
PC	0.000008
PRKG2	0.000009
GPR156 - LRRC58	0.000008
IL32 - RNU1-22P	0.000008
LINC01185	0.0000002
REL	0.00000001
ANO6	0.00000002
CSF2RB	0.000009
CEP57L1 - PTCHD3P3	0.0000009
MTCO1P2 - NPAS3	0.000009
RPL13AP14 - EDIL3	0.0000000009
ADCK4, ITPKC	0.000000000002
FCGR2A	0.00000000007
ABL2	0.000005
CLEC16A	0.000001
DNAH5	0.000003
ENTPD6	0.000001
EPS15	0.000002
GLI3	0.000002
IL2	0.000001
TRNAI25	0.000000002
TSLP	0.000005
C11orf30 - LRRC32	0.00000001
C11orf30 - LRRC32	0.00000004
NPHP3-AS1 - TMEM108	0.000003
RPL17P2 - PPM1A	0.000002
RPL21P119 - RNA5SP404	0.000002
RPS14P8 - RPS17P2	0.000001
SLC25A46 - TSLP	0.00000001
SLC25A46 - TSLP	0.0000007
TRNAN2 - RNU1-2	0.000004
ABCG2	0.000000000003
SLC2A9	0.0000002
COLEC10	0.0000004
EFR3B	0.000000004
HPSE2	0.0000008
IL25	0.000006
JAZF1-AS1	0.0000005
LMO7	0.00000000006
FGF4 - FGF3	0.000003
FOSL2 - SNRPGP7	0.0000008
